id;title
b4315458x;8.5
b43154591;8.5
b4142668x;12
b50382469;180
b41996562;1612
b51560926;1984
b42174764;2012
b24288810;37469
b51116959;10
b51116960;10
b28438644;M
b24767232;More [videorecording].
b26492544;No Turning Back [DVD].
b24316684;100 Years of Change
b4315640x;100 Years of Change
b48713302;101 Reykjavik A Film By Baltasar Kormakur
b24272206;12 Angry Men
b45511937;127 Hours
b45511949;127 Hours
b24795847;16 Days of Glory. The 1984 Summer Olympics [videorecording].
b28192370;1815: The Battle of Waterloo
b24310505;1968 Young Blood
b24300937;1968: The Seige of Wilmington
b2427544x;1980 Presidential Election
b24289553;1984 Campaign
b43859586;1984 Campaign
b24301322;1988 Presidential Campaign Commercials
b2431335x;1988 Presidential Campaign Commercials
b43873807;1988 Presidential Campaign Commercials
b24300895;1988 Presidential Primary Commercials
b43873789;1988 Presidential Primary Commercials
b24313440;1990 Campaign Commercials
b24273788;20 Million Miles To Earth Reel 1 of 3.
b24783134;20 Million Miles To Earth, Reel 2 of 3.
b24783146;20 Million Miles To Earth. Reel 3 of 3.
b24310906;2000 Bush vs Gore Debate 1
b24310918;2000 Bush vs Gore Debate 2
b2431092x;2000 Bush vs Gore Debate 3
b24273569;2001: A Space Odyssey
b42957813;2001: a space odyssey
b2429133x;20TH CENTURY WITH MIKE WALLACE: SEXUAL HARASSMENT & PORNOGRAPHY
b53618208;21 Grams
b24278403;28 Up
b42174624;3 Days of the Condor
b42174648;3 Days of the Condor
b44351860;3 Idiots
b3287649x;300: Full Screen Edition
b32876518;300: Special Edition
b32876506;300: Wide-Screen Edition
b24297902;37 Stories About Leaving Home
b32991150;39 Steps, The
b36516910;3rd Presidential Debate McCain / Obama
b36540237;3rd Presidential Debate, McCain v. Obama 2008
b24475476;4 Little Girls videorecording.
b43152983;400 Blows
b2478316x;400 Blows The
b24287180;400 Blows The. Reel 1 of 3
b24783171;400 Blows The. Reel 3 of 3.
b24316064;46 Linden Street
b48749497;49th Parallel
b24277149;50/50 Chance A
b24291705;97 Publicites Televisees
b30741877;9th Company (Devyataya rota)
b43155893;A Beautiful MInd
b4315590x;A Beautiful Mind
b24292692;A Biography of Lilith
b24308638;A Bout de Souffle
b41477911;A Clockwork Orange
b2618056x;A Clockwork Orange [DVD].
b27028951;A Crime of Insanity [videorecording].
b26696587;A Cruel Romance [videorecording].
b45713170;A Day In A Life of Bonnie Consolo
b24743008;A Day's Work, A Day's Pay. [videorecording].
b2426796x;A Death in New Ireland
b24293441;A Dollar a Day Ten Cents a Dance
b51554926;A Generation
b51554938;A Generation
b24316817;A Global Market
b24268677;A History of the Mayans
b2427298x;A Learning College for the 21st Century
b24310785;A Life in the Making
b24276339;A Luta Continua (The Struggle Continues)
b26180364;A Memory of Two Mondays [DVD].
b26156726;A Moon For the Misbegotten [videorecording].
b28014893;A New Brazil Under Lula?
b24275608;A Nous la Liberte
b24307944;A Pictorial Essay
b44163885;A Raisin In The Sun
b24318115;A Science Odyssey: Part 3: In Search of Ourselves
b53510380;A Tale of Two Cities
b32492182;A Taste of Freedom
b24318991;A Zenana Scenes and Recollections
b2429617x;AAUA Award Presentation
b43772420;AAUA Award Presentation
b2427334x;ABC News He/She: Transgendered Harvard Student
b37623680;About Baghdad
b24289644;Absolute Value
b44972477;Accattone!
b24271135;Accidents of Creation
b24272759;Accounting for Public Values
b43157580;Accounting for Public Values
b2428712x;Acores; e Memoria do Vale
b24317597;Acquiring the Human language Playing the Language Game
b32973664;Acres of skin [videorecording] : the documentary / H & H productions ; produced and directed by Allen M. Hornblum and George J. Holmes ; written by Allen M. Hornblum.
b24319120;Across the River
b2427477x;Across the River: Saving America's Inner Cities
b24297574;Act of War: The Overthrow of the Hawai'ian Nation
b24290439;Act Without Words. Reel 1 of 5.
b24783274;Act Without Words. Reel 2 of 5.
b24783316;Act Without Words. Reel 3 of 5.
b24783328;Act Without Words. Reel 4 of 5.
b24783341;Act Without Words. Reel 5 of 5.
b24279377;Active Learning Techniques in Large Classrooms
b43124161;Active Learning Techniques in Large Classrooms
b44337036;Acts of Worship
b44337048;Acts of Worship
b24273648;Ad and the Ego The
b2427771x;Adalen 31
b30010603;Adam's Rib
b24319235;Addicted Brain The
b44319277;Addiction
b44319307;Addiction 4 Disc Set
b24283940;Address before Joint Session of the US Congress
b24296363;Adelante! Part A: Tape 1 Modules 1 to 6
b24309473;Adelante! Part A: Tape 2 Module 7 to 12
b24309175;Adelante! Part B: Tape 1 Modules 13 to 16
b24311017;Adelante! Part B: Tape 2 Modules 17 to 20
b2692397x;ADHD in Adults [videorecording].
b24318863;Adolescent Cognition Thinking in a New Key
b24275682;Adolf Hitler
b24318152;Adventures in Science: Little Creatures Who Run the World
b29742572;Adventures of Cheburashka and Friends
b24317810;Adversive Events and Behavior Philip Hineline
b24294950;Advertising in Japan
b29888414;Aelita: The Queen of Mars
b24269414;Aeneid as a National Epic The
b43089355;Aeneid as a National Epic The
b24284464;Affirmative Action Versus Reverse Discrimination
b24269098;Africa Before Europeans World The: A TV History Series
b24310359;Africa I will Fleece You
b2428371x;Africa to America to Paris The Migration of Black Writers
b24314821;Africa: Bible and The Gun The The Magnificent African Cake
b24314699;Africa: Caravans of Gold Kings & Cities
b24273703;Africa: Different But Equal Mastering a Continent
b26110179;Africa: The Rise of Nationalism The Legacy [videorecording].
b26057268;Africa: Volume Four: Leopards of Zanzibar, SOuthern Treasures, and The Making of Africa [videorecording].
b26052970;Africa: Volume One: Savanna Homecoming and Desert Odyssey [videorecording].
b26057219;Africa: Volume Three: Love in the Sahel and Restless Waters [videorecording].
b26053020;Africa: Volume Two: Voices of the Forest and Mountains of Faith [videorecording].
b24297690;African Art and Women Artists
b24278324;African Tribal Customs
b2427723x;African-American Legends: Bobbi Humphrey
b24302983;African-American Legends: David N Dinkins
b2426782x;African-American Legends: Edward Lewis
b24302971;African-American Legends: Honorable Percy Sutton
b24304505;African-American Legends: Howard Dodson
b24274719;African-American Legends: Kinshasha Holman-Conwill
b24304098;African-American Legends: Lee Archer
b24303008;African-American Legends: Leon Denmark
b24302995;African-American Legends: William Greaves
b24294093;African's In America: 1450-1750: The Terrible Transformation
b24294275;Africans In America: 1750-1805: Revloution
b24289309;Africans in America: 1791-1831: Brotherly Love
b24280367;Africans in America: 1831-1865: Judgment Day
b24289103;Africans The: Clash of Cultures A
b24289097;Africans The: Garden of Eden in Decay A?
b24292096;Africans The: Global Africa
b24305170;Africans The: In Search of Stability
b24311765;Africans The: Legacy of Lifestyles A
b24311728;Africans The: Nature of a Continent The
